SNO,YEAR,NO_OF_COS_LISTED,NO_OF_COS_PERMITTED,NO_OF_COS_AVAILABLE_FOR_TRADING,NO_OF_TRADING_DAYS,NO_OF_SECURITIES_TRADED ,NO_OF_TRADES_inLakhs,VOLUME_Shares_inLakhs,VALUE_inLakhs,AVERAGE_DAILY_TURNOVER_inLakhs,AVERAGE_TRADE_SIZE,VOLUME_shares_Demat_inLakhs,VALUE_inLakhs_Demat,MARKET_CAPITALISATION_inLakhs
1,2020-2021,1969,24,1910,249,3297,46328,7429579,15397908,61839,33237,7429579,15397908,20295813
2,2019-2020,1949,18,1882,247,3122,31460,4674057,8998811,36432,28604,4674057,8998811,11243112
3,2018-2019,1931,4,1884,248,2960,28532,3749976,7949004,32052,27860,3749976,7949004,14934227
4,2017-2018,1931,4,1817,246,2821,24914,3771836,7234826,29410,29039,3771836,7234826,14044152
5,2016-2017,1817,4,1696,,,,,,,,,,
6,2015-2016,1808,4,1613,247,1615,18518,2201771,4236983,17154,22881,2201771,4236983,9310471
7,2014-2015,1733,4,1544,243,1603,18328,2361779,4329655,17818,23623,2361779,4329655,9930122
8,2013-2014,1688,75,1586,251,2860,14432,1533716,2808488,11189,19460,1533716,2808488,7277720
9,2012-2013,1666,76,1582,250,1683,13605,1659160,2708279,10833,19907,1659160,2708279,6239035
10,2011-2012,1646,73,1563,249,1807,14377,1616978,2810893,11289,19551,1616978,2810893,6096518
11,2010-2011,1574,61,1484,255,1607,15507,1824515,3577412,14048,23009,1824515,3577412,6702616
12,2009-2010,1470,37,1359,244,1968,16816,2215530,4138024,16959,24608,2215530,4138024,6009173
13,2008-2009,1432,,1291,243,1327,13651,1426354,2752023,11325,20160,1426354,2752023,2896194
14,2007-2008,1381,,1236,251,1264,11727,1498469,3551038,14148,30281,1498469,3551038,4858122
15,2006-2007,1228,,1084,249,1191,7846,855456,1945285,7812,24793,855456,1945285,3367350
16,2005-2006,1069,,929,929,251,956,6088,844486,1569556,6253,25781,844486,1569556
17,2004-2005,970,1,839,253,870,4510,797684,1140071,4506,25279,797684,1140071,1585585
18,2003-2004,909,18,787,254,804,3780,713301,1099535,4328,29088,713301,1099535,1120976
19,2002-2003,818,107,788,251,899,2398,364065,617989,2462,25771,364049,617984,537133
20,2001-2002,793,197,890,247,1019,1753,278408,513167,2078,29274,277717,512866,636861
21,2000-2001,785,320,1029,251,1201,1676,329536,1339510,5337,79923,307222,1264337,657847
22,1999-2000,720,479,1152,254,,984,242704,839052,3303,85270,153772,711706,1020426
23,1998-1999,648,609,1254,251,,546,165327,414474,1651,75911,8542,23818,491175
24,1997-1998,612,745,1357,244,,381,135685,370193,1520,97164,,,481503
25,1996-1997,550,934,1484,250,,264,135561,294503,1176,111895,,,419367
26,1995-1996,422,847,1269,246,,66,39912,67287,276,101950,,,401459
27,1994-1995,135,543,678,102,,3,1391,1805,17,60167,,,363350
